,TIER,SYMBOL,PRICE,% CHANGE,$ VOL,SHARE_VOL,TRADES
170,qx,LDSYF,0.429,-0.23,"100,422","236,223",82
171,qb,PVDG,0.00895,-13.94,"99,424","10,883,250",118
172,qx,CBKC,0.2755,-3.33,"97,775","338,821",64
173,qb,NGTF,0.6548,+2.31,"97,658","149,287",68
174,qb,MGTI,0.0705,+0.71,"95,318","1,361,284",123
175,qb,FNMAM,17.8001,0.00,"94,669","5,311",14
176,qb,TBPMF,0.4937,-1.52,"93,548","185,594",51
177,qb,BRTX,0.544408,-1.02,"93,043","173,615",89
178,qb,PKTX,0.12,+20.00,"90,900","748,636",101
179,qb,WCVC,0.087,+16.00,"90,490","1,039,303",116
180,qb,FFRMF,0.116,-7.20,"89,644","756,276",147
181,qb,CRRVF,0.1839,-6.79,"85,945","486,476",133
182,qb,HITIF,0.274,-8.81,"85,216","294,819",78
183,qb,FMBL,"8,240.00",0.00,"82,447",10,6
184,qx,FMCB,770.00,+1.28,"77,000",100,1
185,qx,BDRAF,1.8301,+3.98,"76,881","44,072",39
186,qb,HSTRF,0.325,-5.80,"76,403","235,721",75
187,qb,SING,0.0127,-2.50,"75,553","6,041,966",112
188,qx,NXGWF,0.3807,+9.52,"74,463","197,416",96
189,qx,SGSVF,0.75944,-0.07,"74,170","98,752",78
190,qb,VIBI,0.0012,+9.09,"73,736","67,623,018",135
191,qb,BUDZ,0.82,-2.38,"73,590","88,115",141
192,qx,NLST,0.385,+1.32,"73,332","195,926",94
193,qb,CANB,0.056,-3.28,"72,471","1,305,443",106
194,qb,GSPE,0.0685,+4.58,"71,049","1,051,832",50
195,qb,GBLX,0.155,-4.08,"70,191","445,515",100
196,qx,AHOTF,5.16,-0.10,"69,539","13,454",43
197,qx,TGCDF,2.2685,-3.06,"67,570","30,059",31
198,qb,MYMMF,0.3814,+1.17,"67,048","177,728",89
199,qx,REVB,29.09,+0.31,"66,453","2,300",10
200,qb,GNBT,1.19,+7.21,"66,264","57,683",52
201,qb,ORRP,0.2399,-2.08,"65,461","266,564",55
202,qx,MDRPF,0.508888,-0.81,"65,455","129,344",54
203,qb,MRRCF,0.581,+9.62,"65,447","117,717",94
204,qb,CLSH,0.2994,+5.80,"65,027","222,439",72
205,qb,ASDN,0.42995,+3.63,"64,776","155,034",96
206,qb,BLONF,0.317,-15.47,"64,171","184,046",37
207,qx,ENBP,36.65,+1.24,"63,960","1,755",8
208,qx,GLDLF,0.606,-5.31,"63,704","102,699",39
209,qb,RVVQF,0.470044,-6.03,"63,530","133,608",27
210,qx,TPRFF,2.47,-0.40,"63,148","26,484",50
211,qb,BIVI,0.115,+4.55,"63,065","525,630",42
212,qb,XTEG,5.03,-0.79,"62,660","12,360",24
213,qb,LXXGF,0.4696,-2.17,"62,285","130,568",33
214,qx,TGIFF,0.3351,-4.23,"62,030","183,117",99
215,qb,CHMJF,0.480495,-2.62,"61,666","126,504",85
216,qb,ANVV,4.30,-14.34,"61,337","12,684",29
217,qx,IMLFF,0.32942,-2.39,"61,201","182,629",84
218,qb,LWLG,0.89,-3.26,"61,162","69,352",39
219,qx,NSRPF,1.54,-0.17,"59,414","38,731",46
220,qb,MATN,0.21,+23.53,"58,296","282,745",55
221,qx,MTAFF,0.8199,-0.62,"58,116","71,100",50
222,qb,BRFH,0.50,+2.06,"57,135","119,733",26
223,qx,CBBI,11.97,+0.17,"57,101","4,767",11
224,qx,SKREF,0.35,-2.78,"56,949","169,270",49
225,qx,MAKSF,3.64,-2.33,"56,933","15,572",6
226,qb,MRIC,3.10,+1.64,"56,201","18,214",27
227,qb,MCOA,0.0117,-2.50,"56,121","4,775,035",206
228,qb,MJNE,0.6899,+3.27,"54,767","81,020",46
229,qb,NIDB,37.00,0.00,"54,649","1,477",1
230,qb,PFLC,11.30,+1.62,"54,220","4,800",2
