Symbol,Company Name,Security Type,Caveat Emptor,OTC Tier
PPCCF,"PICC Property and Casualty Co., Ltd.",Ordinary Shares,N,Pink Current
PPCCY,"PICC Property and Casualty Co., Ltd.",American Depository Receipts,N,Pink Current
PPCGF,President Energy PLC,Ordinary Shares,N,Grey Market
PPCLY,PPC Limited,American Depository Receipts,N,Pink Current
PPCQ,"Premier Pacific Construction, Inc.",Common Stock,N,Pink No Information
PPERF,PT Bank Mandiri Persero TBK,Ordinary Shares,N,Pink Current
PPERY,PT Bank Mandiri Persero TBK,American Depository Receipts,N,Pink Current
PPEVF,"Pacific Paradym Energy, Inc.",Ordinary Shares,N,Grey Market
PPII,Coenzyme A Inc.,Common Stock,Y,Pink No Information
PPJE,"PPJ Healthcare Enterprises, Inc.",Common Stock,N,Pink No Information
PPLFF,PT Perusahaan Perkebunan London Sumatra Indonesia Tbk,Ordinary Shares,N,Pink Current
PPLFY,PT Perusahaan Perkebunan London Sumatra Indonesia Tbk,American Depository Receipts,N,Pink Current
PPLL,"Peoples, Ltd.",Common Stock,N,Pink Current
PPMD,"Protide Pharmaceuticals, Inc.",Common Stock,N,Pink No Information
PPMH,"Point to Point Methodics, Inc.",Common Stock,Y,Grey Market
PPMT,"Profit Planners Management, Inc.",Common Stock,N,Pink No Information
PPNT,Pinpoint Recovery Solutions Corp.,Common Stock,N,Pink No Information
PPOEF,PGE Polska Grupa Energetyczna SA,Ordinary Shares,N,Grey Market
PPOKF,PT Charoen Pokphand Indonesia Tbk,Ordinary Shares,N,Grey Market
PPOKY,PT Charoen Pokphand Indonesia Tbk,American Depository Receipts,N,Grey Market
PPOLF,PT Multipolar TBK,Ordinary Shares,N,Grey Market
PPOTF,Pacific Silk Road Resources Group Inc.,Ordinary Shares,N,Pink Current
PPPS,"iSocialy, Inc.",Common Stock,N,Pink Current
PPRG,"Patient Portal Technologies, Inc.",Common Stock,N,Pink No Information
PPRQF,Choice Properties Real Estate Invt Trust,Other Security Type,N,Grey Market
PPRRF,Prontoforms Corp,Ordinary Shares,N,Grey Market
PPRUF,Kering SA,Ordinary Shares,N,Pink Current
PPRUY,Kering SA,American Depository Receipts,N,Pink Current
PPRW,"Premier Power Renewable Energy, Inc.",Common Stock,N,Pink No Information
PPSF,Peoples-Sidney Financial Corp.,Common Stock,N,Pink Current
PPSHY,Pushpay Hldgs Ltd.,American Depository Receipts,N,Grey Market
PPSTF,Pepsi-Cola Products Philippines Inc.,Ordinary Shares,N,Grey Market
PPTDF,"Peptidream, Inc.",Ordinary Shares,N,Pink Current
PPTL,Premium Energy Corp.,Common Stock,Y,Grey Market
PPTM,"Peopleline Telecom, Inc.",Common Stock,Y,Grey Market
PPWLM,PacifiCorp,Preferred Stock,N,Pink Current
PPWLO,PacifiCorp,Preferred Stock,N,Pink Current
PPXXY,Spicers Ltd,American Depository Receipts,N,Pink Current
PPZRF,Western Atlas Res Inc Cda,Ordinary Shares,N,Grey Market
PQEFF,Petroteq Energy Inc.,Ordinary Shares,N,Pink Current
PRAC,Productivity Technologies Corp.,Common Stock,N,Pink No Information
PRBCF,Precise Biometrics AB,Ordinary Shares,N,Pink Current
PRBDF,Personal Group Holdings Plc,Ordinary Shares,N,Grey Market
PRBEQ,Probe Resources Ltd.,Ordinary Shares,N,Grey Market
PRBGF,Probiodrug AG,Ordinary Shares,N,Grey Market
PRBZF,Premium Brands Holding Corp.,Ordinary Shares,N,Grey Market
PRCF,Protein Reactor Combined Fuels Inc,Common Stock,N,Grey Market
PRCK,Placer Creek Mining Co.,Common Stock,N,Pink No Information
PRCNF,Pure Global Cannabis Inc.,Ordinary Shares,N,Pink Current
PRCOF,"Parco Co., Ltd.",Ordinary Shares,N,Grey Market
PRCXF,Green Cross Health Ltd,Ordinary Shares,N,Grey Market
PRDGF,"Premier Diversified Holdings, Inc.",Ordinary Shares,N,Grey Market
PRDL,"Profitable Developments, Inc.",Common Stock,N,Pink No Information
PRDSF,Prada Spa,Ordinary Shares,N,Pink Current
PRDSY,Prada Spa,American Depository Receipts,N,Pink Current
PREA,"Pure Earth, Inc.",Common Stock,Y,Grey Market
PREC,"Prestige Cars International, Inc.",Common Stock,N,Pink No Information
PRED,"Predictive Technology Group, Inc.",Common Stock,N,Pink Current
PREGF,"PRD Energy, Inc.",Ordinary Shares,Y,Grey Market
PREHU,Praire Ethanol LLC,Units,N,Grey Market
PREIF,Precipitate Gold Corp,Ordinary Shares,N,Grey Market
PREKF,Prairiesky Royalty Ltd.,Ordinary Shares,N,Grey Market
PREMF,PreMD Inc.,Ordinary Shares,Y,Grey Market
PRENU,Praire Ethanol LLC,Units,N,Grey Market
PRESF,Perpetual Resources Limited,Ordinary Shares,N,Grey Market
PREUF,Prosperity Real Estate Investment Trust,Fund,N,Grey Market
PREX,"Progress Energy, Inc.",Other Security Type,N,Pink Current
PREXF,Power Resource Exploration Inc.,Ordinary Shares,Y,Grey Market
PRFC,"Epcylon Technologies, Inc.",Common Stock,N,Pink No Information
PRFMF,Profound Medical Corp.,Ordinary Shares,N,OTCQX International
PRGAF,Pargesa Holdings S.A.,Ordinary Shares,N,Pink Current
PRGBQ,Protea Biosciences Group Inc,Common Stock,N,Pink No Information
PRGCF,Prosper Gold Corp,Ordinary Shares,N,Grey Market
PRGLY,Puregold Price Club Inc.,American Depository Receipts,N,Grey Market
PRGNF,"Paragon Shipping, Inc.",Ordinary Shares,N,Pink No Information
PRHB,Pure H2O Bio-Technologies Inc.,Common Stock,Y,Grey Market
PRHL,Premier Holding Corp.,Common Stock,N,Pink No Information
PRHR,Petroshare Corp,Common Stock,N,OTCQB
PRIEF,"Paleo Resources, Inc.",Ordinary Shares,N,OTCQB
PRISY,Promotora De Informaciones SA,American Depository Receipts,N,Pink Current
PRKA,"Parks! America, Inc.",Common Stock,N,Pink Current
PRKI,Perk International Inc,Common Stock,N,Pink No Information
PRKR,"Parkervision, Inc.",Common Stock,N,OTCQB
PRKV,"ParkVida Group, Inc.",Common Stock,N,Pink No Information
PRKWF,Parkway Life REIT,Fund,N,Grey Market
PRLE,Pillarstone Capital REIT,Common Stock,N,Pink Current
PRLEP,Pillarstone Capital REIT,Preferred Stock,N,Grey Market
PRLLY,Pirelli & C. SpA,American Depository Receipts,N,Grey Market
PRLO,"Prologic Management Systems, Inc.",Common Stock,N,Pink No Information
PRLX,Parallax Health Sciences Inc.,Common Stock,N,OTCQB
PRMAF,Purpose Multi-Asset Income Fund,Exchange-Traded Fund,N,Grey Market
PRMK,"ProConcept Marketing Group, Inc.",Common Stock,N,Pink No Information
PRMO,"Prom Resources, Inc.",Common Stock,N,Pink No Information
PRMRF,Paramount Resources Ltd.,Ordinary Shares,N,Pink Current
PRMY,Primary Bk,Common Stock,N,Pink Current
PRNAF,Alterity Therapeutics Limited,Ordinary Shares,N,Pink Current
PRNI,"Printron, Inc.",Common Stock,Y,Grey Market
PROBF,Probe Metals Inc.,Ordinary Shares,N,OTCQB
PROM,"Propel Media, Inc.",Common Stock,N,Pink No Information
PROP,Pledge Petroleum Corp.,Common Stock,N,Pink Current
PROT,"Proteonomix, Inc.",Common Stock,Y,Pink No Information
PROXQ,Proxim Corp.,Common Stock,Y,Grey Market
PRPCF,Prophecy Development Corp.,Ordinary Shares,N,OTCQX International
PRPI,Perpetual Industries Inc.,Common Stock,N,Pink No Information
PRPLF,Perpetual Ltd,Ordinary Shares,N,Grey Market
PRPLW,"Purple Innovation, Inc.",Warrants,N,Pink Current
PRPM,"ProTek Capital, Inc.",Common Stock,N,Pink No Information
PRPPF,Purplebricks Group PLC,Ordinary Shares,N,Grey Market
PRPRF,Prairie Provident Res Inc,Ordinary Shares,N,Grey Market
PRRCF,Procredit Holding Ag,Ordinary Shares,N,Pink Current
PRRDF,Prarie Mining,Ordinary Shares,N,Grey Market
PRRE,"Praetorian Property, Inc.",Common Stock,N,Pink No Information
PRRFY,Premier Foods Plc.,American Depository Receipts,N,Pink Current
PRRMF,Premium Income Corp.,Ordinary Shares,N,Pink Current
PRRP,Paracap Corp,Common Stock,N,Pink No Information
PRRR,Pioneer Railcorp,Common Stock,N,Pink No Information
PRRSF,Posera Ltd.,Ordinary Shares,N,Grey Market
PRRUF,Immutep Ltd.,Ordinary Shares,N,Grey Market
PRRVF,Providence Gold Mines Inc.,Ordinary Shares,N,Pink Current
PRRWF,Park Lawn Corp.,Ordinary Shares,N,Grey Market
PRRY,"Planet Resource Recovery, Inc.",Common Stock,N,Pink No Information
PRSEF,Prosafe SE (Cyprus),Ordinary Shares,N,Pink Current
PRSEY,Prosafe SE (Cyprus),American Depository Receipts,N,Pink Current
PRSG,"Primus Guaranty, Ltd.",Common Stock,N,Pink No Information
PRSI,"Portsmouth Square, Inc.",Common Stock,N,Pink Current
PRSRF,Para Resources,Ordinary Shares,N,Pink Current
PRSXY,Press Corporation Plc,American Depository Receipts,N,Grey Market
PRSZF,Press Corporation Plc,Global Depository Receipts,N,Grey Market
PRTDF,Petro Matad Ltd,Ordinary Shares,N,Pink Current
PRTFU,Patriot Renewable Fuels LLC,Units,N,Grey Market
PRTHU,"Priority Technology Holdings, Inc.",Units,N,Pink Current
PRTHW,"Priority Technology Holdings, Inc.",Warrants,N,Pink Current
PRTR,Precicion Trim Inc,Common Stock,N,Pink No Information
PRTT,Protect Pharmaceutical Corp,Common Stock,N,Pink No Information
PRTX,"Protalex, Inc.",Common Stock,N,Pink No Information
PRVCF,PreveCeutical Medical Inc.,Ordinary Shares,N,OTCQB
PRVU,"PreVu, Inc.",Common Stock,N,Pink No Information
PRWWW,PRWireless PR Inc,Warrants,N,Grey Market
PRXG,"Pernix Group, Inc.",Common Stock,N,Pink No Information
PRXIQ,"Premier Exhibitions, Inc.",Common Stock,N,Pink No Information
PRXM,Proxim Wireless Corp.,Common Stock,N,Pink No Information
PRXXF,Paradox Interactive AB,Ordinary Shares,N,Grey Market
PRYGF,Warrengo Energy Ltd.,Ordinary Shares,N,Grey Market
PRYMF,Prysmian S.P.A.,Ordinary Shares,N,Pink Current
PRYMY,Prysmian S.P.A.,American Depository Receipts,N,Pink Current
PRYNF,Backstageplay Inc.,Ordinary Shares,N,Pink Current
PRZFF,Prize Mining Corp.,Ordinary Shares,N,OTCQB
PRZM,"Prism Technologies Group, Inc.",Common Stock,N,Pink No Information
PSBC,Pacific State Bancorp,Common Stock,N,Pink No Information
PSBP,PSB Holding Corp.,Common Stock,N,OTCQX U.S. Premier
PSBQ,PSB Holdings Inc.,Common Stock,N,OTCQX U.S. Premier
PSCO,Protosource Corp.,Common Stock,N,Pink No Information
PSCR,Proto Script Pharmaceutical Corp.,Common Stock,N,Pink No Information
PSCSF,CERUS ENERGY GROUP LTD.,Ordinary Shares,N,Grey Market
PSDI,Presidion Corp.,Common Stock,Y,Grey Market
PSDMF,Gaming Realms PLC,Ordinary Shares,N,Pink Current
PSDNF,Poseidon Nickel Ltd.,Ordinary Shares,N,Grey Market
PSFT,Powersafe Technology Corp.,Common Stock,N,Pink No Information
PSGFF,Precious Shipping Plc,Ordinary Shares,N,Pink Current
PSGP,Pasco Group Holding Co.,Common Stock,Y,Grey Market
PSGR,"Pershing Resources Company, Inc.",Common Stock,N,Pink Current
PSGTF,Pt Semen Indonesia (Persero) Tbk,Ordinary Shares,N,Pink Current
PSGTY,Pt Semen Indonesia (Persero) Tbk,American Depository Receipts,N,Pink Current
PSGUF,Porto Seguro SA,Ordinary Shares,N,Grey Market
PSHGF,Pou Sheng International Holdings Ltd.,Ordinary Shares,N,Grey Market
PSHGY,Pou Sheng International Holdings Ltd.,American Depository Receipts,N,Grey Market
PSHIF,"Petroshale, Inc.",Ordinary Shares,N,OTCQX International
PSHZF,Pershing Square Holdings Ltd.,Ordinary Shares,N,Pink Current
PSID,PositiveID Corp.,Common Stock,N,Pink No Information
PSIQ,"Profile Solutions, Inc.",Common Stock,N,Pink Current
PSIX,"Power Solutions International, Inc.",Common Stock,N,Pink No Information
PSIZF,"EyePoint Pharmaceuticals, Inc.",Ordinary Shares,N,Grey Market
PSJEY,Petsec Energy Ltd.,American Depository Receipts,N,Pink Current
PSKRF,Protector Forsikring ASA,Ordinary Shares,N,Grey Market
PSKXF,"Philippine Stock Exchange, Inc.",Ordinary Shares,N,Grey Market
PSLKF,Phoslock Environmental Technologies Ltd.,Ordinary Shares,N,Grey Market
PSMH,"PSM Holdings, Inc.",Common Stock,Y,Grey Market
PSMMF,Persimmon Plc,Ordinary Shares,N,Pink Current
PSMMY,Persimmon Plc,American Depository Receipts,N,Pink Current
PSMUF,Pt Sinar Mas Multiartha Tbk,Ordinary Shares,N,Grey Market
PSNP,Preston Corporation,Common Stock,Y,Grey Market
PSNWF,Pacific Star Network Ltd.,Ordinary Shares,N,Grey Market
PSON,"Petrosonic Energy, Inc.",Common Stock,Y,Grey Market
PSORF,Pearson PLC,Ordinary Shares,N,Grey Market
PSPSF,PSP Swiss Property,Ordinary Shares,N,Pink Current
PSPSY,PSP Swiss Property,American Depository Receipts,N,Grey Market
PSPW,3Power Energy Group Inc.,Common Stock,N,Pink No Information
PSRU,"PureSpectrum, Inc.",Common Stock,N,Pink No Information
PSRVF,Prospero Silver Corp,Ordinary Shares,N,Grey Market
PSRYF,Pt Surya Semesta Internusa Tbk,Ordinary Shares,N,Grey Market
PSSGF,P S G Group Ltd,Ordinary Shares,N,Grey Market
PSSKF,Pressance Corp.,Ordinary Shares,N,Pink Current
PSSR,"PASSUR Aerospace, Inc.",Common Stock,N,Pink Current
PSSS,"Puissant Industries, Inc.",Common Stock,N,Pink No Information
PSTNY,PostNL N.V.,American Depository Receipts,N,Pink Current
PSTO,"Powerstorm Holdings, Inc.",Common Stock,N,Pink No Information
PSTRQ,PostRock Energy Corp,Common Stock,N,Pink No Information
PSTTF,Prescient Therapeutics Ltd.,Ordinary Shares,N,Grey Market
PSTVY,Postal Svgs Bk of China Ltd.,American Depository Receipts,N,Pink Current
PSUD,"PetroSun, Inc.",Common Stock,N,Pink Limited
PSWR,Prism Software Corp.,Common Stock,N,Pink No Information
PSWS,"PureSafe Water Systems, Inc.",Common Stock,Y,Pink No Information
PSWW,"Principal Solar, Inc.",Common Stock,N,Pink No Information
PSXRF,Pasinex Res Ltd.,Ordinary Shares,N,Grey Market
PSYS,"Paradigm System Solutions, Inc.",Common Stock,N,Pink No Information
PSYTF,Pason Systems Inc.,Ordinary Shares,N,Pink Current
PSZKF,Powszechna Kasa Oszczednosci Bank Polski SA,Ordinary Shares,N,Grey Market
PSZKY,Powszechna Kasa Oszczednosci Bank Polski SA,American Depository Receipts,N,Pink Current
PSZMF,Priszm Income Fund,Fund,N,Grey Market
PTABF,Astra Agro Lestari TBK,Ordinary Shares,N,Grey Market
PTAH,"PTA Holdings, Inc.",Common Stock,N,Pink No Information
PTAIF,PT Astra International,Ordinary Shares,N,Pink Current
PTAIY,PT Astra International,American Depository Receipts,N,Pink Current
PTALF,Petrotal Corp.,Ordinary Shares,N,Grey Market
PTAM,"Potash America, Inc.",Common Stock,N,Pink Current
PTAUF,Port of Tauranga Ltd.,Ordinary Shares,N,Grey Market
PTAUY,Port of Tauranga Ltd.,American Depository Receipts,N,Pink Current
PTAYF,Pt Asuransi Ramayana,Ordinary Shares,N,Pink Current
PTBBU,Poet Biorefining LLC,Units,N,Grey Market
PTBRY,PT Bank Negara Indonesia TBK,American Depository Receipts,N,Pink Current
PTBS,"Potomac Bancshares, Inc.",Common Stock,N,Pink Current
PTBTQ,"Pope & Talbot, Inc.",Common Stock,Y,Grey Market
PTCAY,PT Chandra Asri Petrochemical,American Depository Receipts,N,Pink Current
PTCHF,PureTech Health PLC,Ordinary Shares,N,Pink Current
PTCI,"Point Capital, Inc.",Common Stock,N,Pink Current
PTCO,PetroGas Company,Common Stock,N,Pink Current
PTCP,"Petrocorp, Inc.",Common Stock,N,Pink No Information
PTCXF,PT Wilmar Cahaya Indonesia TBK,Ordinary Shares,N,Pink Current
PTCYY,Parade Technologies Ltd.,American Depository Receipts,N,Grey Market
PTCYZ,Parade Technologies Ltd.,Warrants,N,Grey Market
PTEEF,Plaintree Systems Inc.,Ordinary Shares,N,Pink Current
PTEFF,Pioneering Technology Corp.,Ordinary Shares,N,Grey Market
PTEL,"Pegasus Tel, Inc.",Common Stock,N,Pink No Information
PTEO,"Proteo, Inc.",Common Stock,N,OTCQB
PTEXF,Pacific Textiles Holdings Ltd.,Ordinary Shares,N,Grey Market
PTFRY,PT Tower Bersama Infrastructure TBK,American Depository Receipts,N,Pink Current
PTGCF,PTT Global Chem Pub Co Ltd,Ordinary Shares,N,Grey Market
PTGCY,PHAROL SGPS,American Depository Receipts,N,Pink Current
PTGEF,Portage Biotech Inc,Ordinary Shares,N,Grey Market
PTGIF,Medco Energi Internasional TBK PT,Ordinary Shares,N,Pink Current
PTGOF,PT Global Mediacom TBK,Ordinary Shares,N,Grey Market
PTHFF,Pt Tancho Indonesia TBK,Ordinary Shares,N,Grey Market
PTHIF,PT Solusi Bangun Indonesia TBK,Ordinary Shares,N,Grey Market
PTHIY,PT Solusi Bangun Indonesia TBK,American Depository Receipts,N,Pink Current
PTHRF,Pantheon Resources Plc,Ordinary Shares,N,Grey Market
