,TIER,SYMBOL,PRICE,% CHANGE,$ VOL,SHARE_VOL,TRADES
358,qb,NWGI,0.3885,+6.44,"33,263","86,687",12
359,qb,GLNNF,0.11196,-0.57,"33,256","301,757",68
360,qb,GMBL,0.55,+30.02,"33,227","66,264",26
361,qx,EFSI,34.00,+8.45,"32,920","1,000",3
362,qb,FNMAN,17.80,+2.01,"32,707","1,854",8
363,qb,MJNE,0.685,-0.71,"32,584","48,769",36
364,qb,EYCCF,0.0689,-3.07,"32,476","481,195",78
365,qb,MSRT,0.060775,-5.04,"32,282","531,831",82
366,qb,TAUG,0.08,-11.11,"32,192","401,676",50
367,qx,CGOOF,1.97,-0.46,"32,071","16,000",31
368,qx,CBLLF,3.0915,+1.36,"31,424","10,269",25
369,qb,BRFH,0.49,-2.00,"31,095","63,671",20
370,qx,BNCC,29.35,+0.51,"30,567","1,048",4
371,qb,EWLL,0.10,-5.37,"30,534","299,973",23
372,qx,CPTP,15.25,0.00,"29,925","2,021",5
373,qb,CSHX,59.75,0.00,"29,875",500,2
374,qb,LSYN,2.32,-7.20,"29,349","11,790",9
375,qb,SURG,0.8087,+7.83,"29,216","36,706",29
376,qx,TPRFF,2.35722,-4.57,"28,817","11,909",35
377,qb,INQD,0.017,-27.35,"28,127","1,559,044",92
378,qb,GTBDF,1.90,+9.83,"28,121","15,200",27
379,qx,TGCDF,2.30,+1.39,"28,050","12,110",24
380,qx,NMKEF,0.24,+5.22,"28,047","117,318",34
381,qb,BRTX,0.50,-8.16,"27,956","55,511",30
382,qb,PPCB,0.0091,+10.98,"27,898","3,362,244",63
383,qb,CIIX,0.48,+2.13,"27,225","55,807",25
384,qb,MLYFF,0.0375,-2.60,"27,189","700,785",27
385,qb,NEXCF,0.555,-2.17,"27,117","47,975",56
386,qb,CHKDG,54.00,-3.57,"27,000",500,3
387,qx,VSQTF,0.2609,+13.93,"26,553","104,487",27
388,qb,NLBS,0.235,+9.00,"26,260","115,752",33
389,qb,QBIO,1.75,-0.57,"26,162","15,111",44
390,qx,SGSVF,0.77044,+1.45,"26,022","34,148",18
391,qb,FNGR,6.40,+3.06,"25,890","4,070",13
392,qb,GNBT,1.185,-0.42,"25,760","21,951",39
393,qb,QUES,0.425,+0.48,"25,590","69,495",16
394,qb,GHHC,0.004,-14.89,"25,581","6,279,389",49
395,qb,ZIVO,0.115,+4.55,"25,528","210,200",18
396,qx,NXGWF,0.39,+2.44,"25,187","68,387",44
397,qx,ISBA,22.79,0.00,"25,162","1,110",4
398,qb,FIOGF,0.1888,-5.55,"24,869","129,500",24
399,qx,GXOCF,0.66,+2.61,"24,719","38,099",12
400,qb,TKOI,0.151,+0.67,"24,686","167,016",23
401,qx,FMBM,30.75,-1.44,"24,661",800,6
402,qb,IVOB,0.34,-0.09,"24,197","70,570",29
403,qx,RBYCF,0.6442,+2.25,"24,157","35,804",34
404,qb,FMCKK,17.20,+0.58,"24,140","1,400",3
405,qx,POETF,0.277,+6.13,"24,071","88,630",14
406,qx,FBAK,248.00,+0.40,"23,752",96,4
407,qb,MMTIF,0.0268,+6.77,"23,548","928,166",15
408,qb,IONI,0.25,+13.64,"23,424","81,500",21
409,qb,KAYS,0.0584,-16.57,"23,180","365,919",38
410,qx,IRRZF,0.475,+4.17,"23,023","48,500",6
411,qx,AOTVF,0.5233,-8.08,"22,836","43,818",25
412,qx,SBKK,11.85,+0.34,"22,790","1,926",4
413,qb,SGMD,0.039,+0.26,"22,574","561,895",56
414,qb,NRGMD,0.14276,+16.35,"22,391","163,239",46
415,qb,INTV,0.07895,-7.93,"22,339","262,592",33
416,qx,TRLFF,0.3225,-2.27,"21,987","67,556",50
417,qb,ROYL,0.29705,+23.41,"21,538","70,706",22
418,qb,CPKF,26.40,+0.08,"21,104",800,3
419,qb,SPLIF,0.1545,-9.12,"20,772","127,455",46
420,qb,MATN,0.20,-4.76,"20,522","95,780",18
421,qb,PRKR,0.1049,-12.51,"20,433","188,887",41
422,qb,QSEP,0.23,-13.21,"20,411","83,511",26
423,qb,SYHBF,0.274,+5.38,"20,201","77,000",5
424,qb,GCAN,0.114448,-6.95,"20,173","172,114",28
425,qb,NMTC,3.94,+1.03,"19,765","5,184",15
426,qb,ALPE,0.37,+37.04,"19,710","53,600",20
427,qx,CHPGF,1.25,-2.34,"18,673","14,849",8
428,qx,THCBF,0.2083,+1.56,"18,626","79,349",40
429,qx,FRSB,10.47,+2.65,"18,521","1,765",4
430,qb,CCTC,0.0838,+4.75,"18,432","225,195",16
431,qb,DSNY,0.3012,-2.84,"18,337","59,062",18
432,qx,GZPFY,27.45,+1.70,"18,312",669,6
433,qb,LFER,0.474625,+5.59,"18,311","44,022",28
434,qb,RSSS,2.22,+9.53,"18,307","8,485",17
435,qb,AUIAF,2.55,+0.85,"18,305","7,290",14
436,qx,IMBBF,30.6178,0.00,"18,240",595,4
437,qb,EGHIF,1.15,+7.49,"18,074","15,620",15
438,qx,AXDDF,0.246,+0.41,"18,059","72,343",18
439,qx,LOMLF,0.51,-1.01,"17,779","34,500",10
440,qx,MNMB,39.50,+6.18,"17,775",450,1
441,qb,IGNG,0.10,+0.10,"17,724","176,406",27
442,qx,PGPEF,59.02,+0.20,"17,706",300,1
443,qb,PNTV,0.0228,+1.79,"17,627","786,093",56
444,qx,BDRAF,1.7465,-4.57,"17,592","10,073",26
445,qb,RXMD,0.06,+3.45,"17,584","299,713",27
446,qx,ALRS,19.24,+0.21,"17,508",910,2
447,qb,WELPP,87.50,+0.92,"17,450",200,2
448,qb,NROM,0.49,0.00,"17,443","37,537",9
449,qb,PVCT,0.0471,+2.39,"17,191","400,285",22
450,qb,ELIO,2.09,+0.72,"17,184","8,262",14
451,qx,CPTRF,1.072,+1.13,"17,124","16,417",24
452,qb,WFCF,1.93,-1.03,"17,094","8,775",14
453,qb,PKTX,0.12555,+4.62,"17,081","146,794",41
454,qb,MGXMF,0.20,+3.50,"17,066","86,361",26
455,qb,HSTRF,0.3403,+4.71,"16,839","50,793",34
456,qx,KROTY,2.46,+1.44,"16,507","6,796",13
457,qb,WCVC,0.086368,-0.73,"16,488","199,323",42
458,qb,OWCP,0.01968,-1.11,"16,300","845,171",49
459,qb,EXROF,0.21967,+0.77,"16,282","74,408",26
460,qx,CBAF,55.35,+0.07,"16,278",294,2
461,qb,OPXXW,0.65,0.00,"16,250","25,000",2
462,qx,STLHF,0.6371,+0.63,"15,988","24,928",28
